3347675,1,1,1
3347685,1,1,2
3347701,2,2,2
3347705,3,3,2
3347707,1,1,1
3347716,2,3,2
3347738,1,1,1
3347744,2,2,2
3347748,2,1,2
3347756,2,2,2
3347765,2,1,1
3347794,3,2,2
3347796,2,2,2
3347801,2,3,2
7783374,1,2,2
7783379,3,2,2
7783390,1,1,1
7783420,1,1,1
7783425,1,1,2
7783434,1,1,1
7783437,1,1,1
7783439,3,1,1
7783464,1,1,1
7783483,2,2,2
7783485,2,3,3
7783496,2,2,2
7783507,2,2,2
7783528,1,1,1
7783540,2,1,1
7783553,2,2,2
7783563,1,1,2
7783570,2,1,2
7783585,2,1,2
7783586,3,1,2
7783605,3,3,3
7783611,2,2,2
7783625,2,1,2
7783629,2,1,1
7783637,1,1,1
7783649,1,1,2
7783664,2,3,3
7783670,3,3,3
7783680,2,2,2
7783686,2,1,1
7783687,3,3,3
7783695,1,1,1
7783700,2,1,2
7783716,2,3,3
7783722,3,3,3
7783740,3,3,3
7783755,3,3,3
7783756,3,3,3
3347259,2,3,2
3347459,1,1,2
3347673,1,1,1
3347674,2,2,2
3347679,2,2,2
3347683,1,2,2
3347684,2,2,2
3347695,2,2,2
3347696,3,3,3
3347700,2,2,2
3347706,2,2,2
3347726,2,1,1
3347735,2,1,1
3347736,1,1,2
3347743,2,2,2
3347763,2,2,2
3347785,3,3,3
3347793,2,2,2
3347797,2,2,2
7783372,1,1,1
7783381,3,3,3
7783382,2,2,2
7783418,3,2,2
7783419,2,2,2
7783422,3,2,2
7783432,1,1,1
7783435,1,1,1
7783481,1,1,1
7783484,3,3,3
7783488,2,3,2
7783491,2,2,2
7783493,2,2,2
7783498,3,3,3
7783503,3,3,3
7783516,3,3,3
7783517,3,3,2
7783547,2,2,2
7783558,2,1,2
7783559,2,2,2
7783588,3,3,3
7783602,2,2,2
7783603,3,3,3
7783684,2,1,2
7783694,3,2,2
7783703,3,3,3
7783723,3,3,3
7783726,2,2,2
7783727,2,2,2
7783746,3,3,3
7783759,2,2,2
3347690,1,1,1
3347698,2,2,2
3347717,2,2,2
3347727,1,1,1
3347746,3,3,3
3347759,1,1,1
3347760,3,3,2
3347769,3,3,3
3347771,1,1,1
3347772,1,1,1
3347799,2,3,2
3347800,1,1,1
7783384,3,3,3
7783391,1,1,2
7783397,2,2,2
7783399,2,2,2
7783405,2,1,2
7783406,1,1,1
7783423,1,1,1
7783427,2,1,1
7783442,2,2,2
7783444,2,2,2
7783454,3,3,3
7783459,2,1,1
7783497,3,3,3
7783500,2,2,2
7783506,2,2,2
7783519,3,3,3
7783532,3,3,3
7783549,1,2,2
7783581,2,2,2
7783590,3,3,2
7783592,3,3,3
7783606,3,3,3
7783615,1,1,2
7783620,3,3,3
7783643,3,3,3
7783651,1,1,2
7783653,3,3,3
7783658,1,1,1
7783660,3,3,3
7783668,3,3,3
7783677,2,2,2
7783678,1,1,1
7783696,2,2,2
7783713,2,3,2
7783737,3,3,3
7783745,3,3,3
7783749,3,2,2
7783760,1,1,1
3347311,3,3,3
3347337,3,3,3
3347510,3,3,3
3347691,1,1,1
3347703,2,1,1
3347712,1,1,1
3347722,1,1,1
3347739,3,3,3
3347741,2,2,2
3347745,3,3,3
3347758,2,1,2
3347767,2,1,2
3347768,2,2,2
3347798,3,3,3
7783369,1,2,2
7783380,2,3,2
7783386,3,3,2
7783396,2,2,2
7783408,1,1,1
7783421,1,1,1
7783429,1,1,1
7783440,1,1,1
7783441,1,1,2
7783455,1,1,2
7783469,3,2,2
7783482,2,2,2
7783486,2,2,2
7783494,2,1,1
7783509,3,3,3
7783525,1,1,1
7783526,3,2,2
7783550,2,1,1
7783561,1,2,2
7783562,1,1,1
7783564,3,3,3
7783568,3,3,3
7783574,2,2,2
7783593,2,2,2
7783597,3,3,3
7783635,2,1,1
7783650,1,1,1
7783663,3,3,3
7783666,3,3,3
7783672,2,3,2
7783679,1,1,1
7783689,1,1,1
7783699,2,2,2
7783714,1,1,1
7783720,3,3,3
7783739,1,1,1
7783750,1,1,2
3346074,2,3,3
3346614,3,3,3
3346837,3,3,3
3347305,3,3,3
3347687,2,2,2
3347710,1,1,1
3347715,2,2,2
3347719,1,1,1
3347747,3,3,3
3347751,2,2,2
3347766,1,1,1
3347777,3,2,2
3347778,1,1,1
3347786,2,2,2
3347804,2,2,2
3347812,3,3,3
7783377,2,2,2
7783388,3,3,3
7783392,2,2,2
7783402,1,1,1
7783415,1,1,1
7783424,1,1,1
7783436,2,1,2
7783443,1,1,1
7783446,1,1,1
7783451,3,3,3
7783460,2,1,1
7783470,3,3,3
7783473,2,2,2
7783478,3,3,3
7783489,2,3,3
7783522,3,3,3
7783524,3,3,3
7783529,2,1,1
7783560,1,2,2
7783601,1,2,2
7783613,1,2,2
7783623,3,3,3
7783626,1,1,1
7783638,2,3,3
7783656,2,1,2
7783657,2,2,2
7783673,2,2,2
7783674,3,2,2
7783675,2,2,2
7783692,2,2,2
7783698,2,2,2
7783705,2,2,2
7783719,1,1,1
7783738,1,1,1
7783752,1,1,1
3346075,2,2,2
3346633,2,2,2
3346982,3,3,3
3347251,1,1,1
3347257,1,2,2
3347357,3,2,2
3347550,3,3,3
3347682,3,3,2
3347686,1,1,1
3347704,1,1,1
3347709,2,2,2
3347718,1,1,1
3347730,2,1,1
3347731,2,3,3
3347749,2,2,2
3347764,2,2,2
3347770,2,1,2
3347773,1,1,1
3347776,3,3,3
3347802,1,2,2
3347809,2,1,2
7783385,1,1,1
7783387,3,3,3
7783389,1,1,1
7783400,2,2,2
7783407,1,1,1
7783409,1,1,1
7783428,3,3,3
7783433,1,1,1
7783445,1,1,1
7783453,2,1,2
7783499,1,2,2
7783501,2,2,2
7783511,3,3,3
7783513,2,2,2
7783520,1,2,2
7783523,3,3,3
7783544,2,2,2
7783551,2,2,2
7783580,2,1,2
7783604,3,3,3
7783621,3,3,3
7783627,2,2,2
7783642,2,2,2
7783669,3,3,3
7783676,1,2,2
7783712,2,2,2
7783721,2,2,2
7783748,3,3,3
7783757,2,3,2
3347237,3,2,2
3347256,1,1,1
3347678,2,1,2
3347680,2,3,3
3347681,2,2,2
3347693,1,1,1
3347699,3,3,3
3347708,1,1,1
3347714,1,1,1
3347724,1,1,1
3347732,1,1,1
3347754,2,2,2
3347757,3,3,3
3347762,2,3,2
3347782,3,2,2
3347784,2,2,2
3347792,3,3,3
3347803,1,1,1
3347806,3,3,3
3347807,2,1,1
7783398,3,3,3
7783401,1,1,2
7783404,2,2,2
7783431,2,2,2
7783447,3,3,3
7783471,2,1,2
7783480,2,2,2
7783490,3,3,3
7783492,2,2,2
7783504,2,2,2
7783514,3,3,3
7783515,1,1,1
7783518,3,3,3
7783534,2,2,2
7783543,2,3,2
7783557,1,1,1
7783595,2,2,2
7783607,2,1,2
7783612,3,3,3
7783652,2,3,3
7783654,2,3,2
7783655,2,3,3
7783683,3,3,3
7783690,3,3,2
7783701,2,2,2
7783707,2,1,2
7783718,2,3,3
7783724,3,3,3
7783733,3,2,2
7783751,2,2,2
7783766,3,2,2
3346654,1,1,2
3347424,3,3,3
3347672,2,2,2
3347676,3,3,3
3347677,2,1,2
3347688,2,2,2
3347689,1,1,1
3347692,3,3,3
3347711,1,1,1
3347720,3,3,3
3347721,1,1,2
3347752,3,3,3
3347753,2,1,2
3347779,2,2,2
3347781,1,2,2
3347783,3,3,3
3347787,3,3,3
3347788,2,2,2
3347805,1,2,2
3347810,2,3,2
7783393,3,3,3
7783394,2,1,1
7783403,1,1,1
7783416,2,2,2
7783430,1,1,1
7783449,2,2,2
7783450,1,1,1
7783456,1,1,1
7783461,1,1,1
7783465,3,3,3
7783510,2,2,2
7783512,3,3,3
7783533,1,1,1
7783537,2,2,2
7783541,2,1,1
7783542,1,1,1
7783567,3,2,2
7783577,3,3,3
7783587,3,3,3
7783589,2,1,1
7783608,2,2,2
7783610,2,3,3
7783614,3,2,2
7783691,2,2,2
7783697,3,3,3
7783702,2,2,2
7783706,2,3,3
7783708,2,2,2
7783725,3,3,3
7783730,2,1,1
7783765,2,2,2
3346086,1,1,1
3346125,2,1,1
3347401,2,2,2
3347671,1,1,1
3347697,3,3,3
3347723,1,1,1
3347729,2,3,2
3347734,1,2,2
3347740,3,2,2
3347750,2,2,2
3347761,2,2,2
3347774,2,2,2
3347789,3,3,3
3347790,2,2,2
3347808,1,1,1
3347811,2,3,3
7783370,2,1,1
7783371,1,1,1
7783378,1,1,1
7783410,1,1,1
7783412,3,3,2
7783413,1,1,1
7783414,2,2,2
7783417,2,1,1
7783426,1,1,1
7783438,1,1,1
7783452,3,3,3
7783466,3,3,3
7783472,2,2,2
7783475,2,2,2
7783487,3,3,3
7783495,1,1,1
7783527,2,3,3
7783536,2,1,1
7783548,2,1,2
7783555,3,3,3
7783583,2,2,2
7783591,1,1,1
7783594,2,2,2
7783596,3,3,3
7783598,2,1,2
7783622,3,3,3
7783628,1,2,2
7783647,1,1,1
7783659,3,3,3
7783685,2,2,2
7783688,2,1,2
7783711,3,3,2
7783731,2,2,2
7783744,3,3,3
7783764,2,2,2
